product_id,prd_name,prd_category,unit_price,prd_description
c766c307-bcff-4e3b-888f-092db7dd8969,zcle,beauty,69.6,Environment maintain time go him reality.
52caf704-4b0f-4332-85b7-a682625ded60,zhbx,apparel,21.0,Ready physical tonight arrive sign great.
47ee4839-c02b-4b50-8ba3-e956483a2618,iqju,electronics,29.7,Realize company specific score lawyer drop.
32962e18-e4a7-4022-8efa-d26c07ad64ed,uejg,beauty,68.8,Reality key window mother method north.
e69c024d-6b40-4738-9852-4aa81a6aa944,snxu,apparel,63.3,Around boy since decade since.
b1f98cb5-d69b-4dc6-b1c5-da9908b7f8c0,roqa,apparel,71.5,Image deal debate travel speak and news.
3cbd88d4-bd42-427d-986c-422c5f45a72f,oheu,home,3.9,Citizen knowledge they long assume house as.
5ec7a5e2-5758-4bd5-8310-5217d2a5e0d4,gnoe,beauty,86.2,Out hair defense old Mr kid admit.
02ebd27c-381d-484f-8644-5f754f1cb52d,ayfi,apparel,70.4,Let show discussion.
7b6f1d88-ba5b-4775-9bfa-bd11f21473e5,abpn,home,4.3,Painting bring activity receive such debate.
de90d9a4-5204-43fe-ae2f-209812e8fbbb,epul,apparel,4.3,World bring consider management once.
2c6cad60-4fbe-4388-8876-eaa7bfef6331,xwpa,home,76.7,Most fight wife become. Structure live point.
9cc090b4-eaf9-48fa-8fc0-e0a575b1fcca,oaiu,beauty,68.9,Card current maybe school herself east.
d5e6822d-22e3-4da1-88b5-194868e49485,qntc,beauty,35.7,Unit avoid generation deep deep.
ff63387b-f117-4b76-b441-3fea73bb9b2c,xazj,electronics,90.9,Body my may until position many.
eb188ac2-8806-4966-a216-4c3f9ad44ed6,hytf,apparel,88.7,Total poor add figure tree member soon.
f1c33fb7-44f4-4708-af21-768b544111a9,nche,beauty,65.6,Believe before very source.
5e7d27f7-f442-458c-b82a-c2c335b1e474,qzdt,beauty,26.6,Style add age listen wife themselves.
962b5516-6f90-46bb-9f8b-7104d142793f,hitw,apparel,35.2,Wide case reason born.
ae304b2a-90e5-4b70-b60a-dcfcbf31927a,zqpj,beauty,77.7,Part value travel safe find body argue.
6e563bfc-af29-4358-8eeb-ce1508820afb,qtdk,apparel,88.6,Visit assume quickly talk several again.
4f6e0a3b-37c9-4c77-bb12-d7848c82b57d,hmcr,home,47.2,Green who check product rather entire.
2cf5c993-8b3f-4a83-89e8-06849737d982,eupk,electronics,81.4,Exist report foot leader economy.
8b6aa0c3-98de-4e97-b2bc-625bc82d9ad9,sugd,home,90.0,Since young thus range street. Physical they its.
bcb92107-0c39-465e-9d31-4e2b0df9b72e,pera,home,24.5,Science argue group believe.
58ac3893-675b-4f74-b2c2-3893c8e73e1c,oeva,apparel,55.7,Crime game lawyer term TV character affect again.
d6483d6f-5879-42b9-af7f-bca7b86a2742,nvbx,apparel,21.6,It bit foot too our.
29a6d457-b490-49cc-b546-ebb95a88703e,nuvz,beauty,47.6,Seek we politics detail hospital finish.
d713e7ec-bfd3-42ec-8f58-ed48fa091e48,syhe,electronics,42.2,Threat attack a name. Actually begin region.
340b62e2-09d2-4c10-9c9a-d7ba0c77ce7a,clfz,home,30.1,Step leave pull three.
8decc2dd-aac8-4421-b422-0466d5b43253,hxqf,apparel,67.7,Believe top role know nature.
89018e12-ec0a-4718-8c24-0a19eb1e5d87,pefc,home,59.1,Worry network test money radio.
7c13b596-6a7f-4e15-8f6a-be6dec9311ec,ogwj,electronics,66.4,Good possible growth source bad make scientist.
9ea9d988-3b50-4672-a8a8-b35f3d82f966,vhyx,home,41.2,Name project area model. The two have scene.
42d09829-1040-4eb8-a8fb-9ff36ba951a6,grcl,beauty,84.6,Admit technology culture newspaper leader school.
