product_id,name,category,unit_price
mgzu-902,njga,lzanb,37.8
ucnz-903,cohy,drthf,6.4
oeqt-257,ltjm,guzvp,35.4
yrwi-569,wfgx,iwypa,8.3
cvdz-039,awpk,dtvyx,26.5
ywig-852,thje,bweim,85.1
gtbp-154,avkt,pluro,96.3
mbgy-274,kocy,eqfxv,69.4
nsfh-314,mscz,ghdlx,63.1
zqlg-630,ybpf,kempo,6.6
fmlp-783,lsfx,iycqb,2.2
pyvr-597,jarh,ypjrn,61.8
njif-461,zbjc,mchju,1.7
gwsy-294,srho,sthjx,12.4
zeok-206,mphv,wqxpg,64.2
mwud-230,cewu,lrvdq,5.1
ysxo-380,luxt,hdtne,26.6
xvlu-372,glmj,clgzv,21.7
fueg-356,xize,mwjpz,68.8
rxcv-524,lqku,hfbwv,18.0
haqf-830,ihsu,qfboj,41.0
zknr-173,uekh,kuzwm,86.4
mcdf-057,gwou,eqfxv,77.4
ocpl-410,wpqx,ezjlq,3.1
lync-247,fipq,ghdlx,49.4
amlw-657,hqsn,rovcu,95.2
hkwx-720,xhzl,quajo,4.8
onkd-307,ahtj,thweu,43.8
xtuz-912,blpo,qhpdn,91.7
krta-145,ctyi,prhlt,94.8
avez-925,rclm,qfboj,56.3
ncji-051,wjly,hfbwv,83.7
avkx-064,uvjm,bpryc,95.5
flum-928,jzxp,nbsxa,41.4
ejia-508,mrcg,eourc,59.4
elrz-820,dlsw,kpvdz,81.0
vxqj-290,jdwm,quajo,68.3
xpud-196,ailr,yjugc,0.5
fule-814,vjbr,bpsxt,65.3
riej-543,ptze,lrvdq,52.3
nhoj-362,rkqv,tdjeb,38.9
oyvg-281,atec,nzmub,25.0
dvru-821,njlv,bkpmw,87.0
kvsm-904,twen,vduaj,56.9
criw-659,bzme,nfgqb,69.3
cykg-087,umwn,zcxrv,68.8
cwoe-590,phyg,zvkup,34.1
pvro-692,scyk,zdmxe,89.8
lcuz-510,bqdr,jmser,36.6
ythb-361,tnzv,quajo,82.6
leng-810,enij,lzanb,69.9
becq-348,pgxr,prhlt,26.4
nblf-195,omay,mbznj,89.4
iqmf-517,uiar,sdzqn,32.8
dtnx-671,odan,ypjrn,85.2
nysf-308,bgue,xpvbs,4.8
hgow-128,itcz,hwido,43.3
drov-917,yqec,fswuy,2.2
gnso-629,pwnr,fswuy,77.0
hgpw-217,treo,hqygn,55.2
uatj-627,jheq,uokyc,94.0
kqof-734,kabn,rxqnp,22.3
layc-461,irkh,nzmub,44.9
fnuo-168,cixb,qfboj,74.4
mgri-186,aykr,tcoul,43.1
hjra-714,ulrm,qfboj,5.1
qgpc-154,wbjk,xpvbs,97.4
kzjc-560,pflr,xydpw,50.8
edgt-280,huxf,zrtbg,95.5
yunp-247,bpws,vumzr,61.7
bntw-413,xgcn,dbyxl,7.4
dncs-963,bpze,jymis,36.4
tcar-071,otle,pegjl,19.0
nqfk-037,jshr,nfgqb,76.0
ngpy-820,aivc,dtvyx,97.3
rbcv-217,pctk,prhlt,60.2
kcbg-581,malt,rovcu,84.8
krzs-493,tycs,nfgqb,39.5
vzhf-627,vlfi,sdzqn,90.3
vkto-872,blns,qxuoh,19.1
moth-943,axlg,dtvyx,78.0
umer-971,vcen,cagye,36.4
cnof-041,rikm,ioepv,8.4
xljz-652,kbze,cnfbu,75.9
wvuy-463,rukc,eqfxv,64.1
uqyd-921,lzhy,nzmub,45.8
niwb-861,urto,ypjrn,89.6
wtlg-549,udli,drthf,79.0
imvu-871,zqsh,mqlsv,20.5
qoaw-260,seqk,mrnby,80.9
dqtx-783,butp,tuboz,82.5
ecay-621,wche,nfgqb,18.7
vagk-218,ekrs,xrsnl,0.2
jhsd-498,lwvb,pluro,38.4
nqfw-276,dbjg,ewtzi,99.8
abrt-931,kcqr,ioepv,42.2
lqmf-164,fjqr,xnwbc,99.4
mpvh-785,ntzl,hwgbi,98.8
iglq-437,cfnw,fylpk,61.0
hqpn-401,rgfc,zfwvh,53.9
