order_id,customer_id,product_id,order_quantity,purchased_via,order_delivered,order_returned,order_date
6d245963-a80d-4b7f-a737-9ff1cb61417c,d01d7c19-0662-417f-a5dd-f143d0718afa,b140a888-532e-42b3-99ba-c47cef57521b,4,amazon,no,False,2021-01-02
1622ce38-d415-4ac5-b19a-a06efb55db3e,61a29aa7-0e97-420b-8151-52a8ed6b0510,118b02e9-1347-4935-856a-c9a09909f9bf,802,amazon,yes,False,2023-08-02
e25aa16f-c690-42b3-a42a-93ee3da83bcf,c69dea10-6dfc-4550-a358-642dca9682c7,3fbe1747-88f9-40b9-b179-2b096aad0574,906,amazon,no,True,2022-02-26
3e42e422-de7f-4dcc-9f0d-52433fb26936,d00c4d04-3479-4375-a05b-25136a1f7ae9,e834270d-06fa-48e4-8a0f-a164e21a62a4,699,in-store,no,True,2022-11-05
f3c68190-69d9-4de3-ae6a-1c3459c7392a,b8db4c59-d454-47f1-9b97-395ff3ad40e8,ef1c6455-7cf4-4428-abea-65b532a44240,883,amazon,yes,False,2022-09-24
8162ea21-3374-441d-a737-e59e28152af2,47ba6b69-83c6-494f-ac26-dce44280949a,1e94d0aa-bbd4-45e8-810e-2e656c7e9588,396,amazon,yes,True,2021-06-12
f3a7a302-1881-45de-a1c2-6f9c9e271268,41865459-2331-4c6c-8398-1a29c3a750c2,fdf1f61e-2db5-4ef2-b8c7-a5e6a2205381,522,website,no,True,2021-06-15
e49f0b6c-a886-4e04-bc14-a8ef4678977a,96980ca3-ee70-41c8-98e9-1f52f10ee750,aaafce3c-4e35-4df0-a1da-6f04bebcfbbf,390,amazon,no,False,2022-05-15
1856db85-aa1e-43c1-9422-7721bee0197e,6a34e0a1-4606-4bef-b896-3469d8c87f5a,9fcc2031-ff7d-4296-bcff-8bfa054df73a,942,website,no,True,2021-09-12
bbb03be9-dc55-4bec-ac78-b21b8ef62029,831c59f1-bf5b-41b2-8c37-2cd115fee4d0,c876f479-0c11-4b09-85a5-16f2f8a19ed3,428,in-store,yes,True,2021-02-23
12d55421-8efa-4c48-b81e-b64b65a94bd2,3dea25d1-c718-4f08-b76b-9a4046a52c28,af8bf9ac-09df-4e31-8b0c-cddd63135432,501,amazon,yes,False,2023-10-21
ffc7f825-f40e-400e-a31d-8ab612f6b301,0768d1ee-ab53-438c-85cf-3b80131bb0a9,c70405ea-7da6-43f4-8a47-cb4fbe695d0a,450,amazon,yes,False,2021-03-25
df3ca04a-3554-4166-b1d0-092db3dafede,e724e6b3-2119-43d7-afec-d6059180c74e,5bfe5c13-8f7c-476c-8273-2c2c3bf7b91c,433,in-store,no,True,2021-07-26
7582eab9-9235-4dcf-877c-f6fa505a94ed,08b9a424-c0be-4abe-aa13-499400c12ccb,5825632d-846b-4bc3-9b44-631103601b53,339,in-store,no,True,2022-11-03
4ac964c8-9200-43ba-8481-5db5416b23ab,26465b48-f266-4041-ada7-d5b87ab691dd,1e0d3345-e5df-4c0e-8a0c-48ce92de8846,597,website,yes,False,2023-04-26
02aad6d8-f783-412b-9dc1-e823887dc33e,19a528fb-fde6-448a-b6f8-57a0ecc435d1,d4fa3a02-5671-4c80-934e-567d3dad1c7e,500,amazon,yes,False,2023-12-11
0c6eacd8-0fcb-40d9-a307-eeb7d3d21efb,57b3b4f6-1758-4f21-b450-b7cec3d46792,88e319b4-3d16-4012-addf-05072ec2172c,422,website,yes,False,2023-10-08
f71b279f-080e-439b-8d4b-4ce6e80d5372,9f20fe42-786a-40ad-9882-6e8f6ade3a02,69aa8045-9bfa-47f4-a7d0-288b1883f9c0,902,in-store,no,False,2023-05-01
d02af269-951f-459c-a02e-2faf8e8c725e,d4f08fa3-6789-4689-b0f9-c6d68c37efde,da6fb6ae-81d3-4cbf-a12f-cac2b2dfd774,703,amazon,no,False,2023-12-08
ade827a2-dea5-4c57-9f5a-cdeda48ca3c4,730fd253-e9bc-4777-acbd-fbe046972d7f,bfb36af1-d41c-4b43-8d37-ee05e23a255f,814,in-store,yes,True,2022-09-02
b8c8f9fa-26db-4144-aad0-c8170267d9b8,f87e398f-a5c1-49d4-a505-2afaab8676b2,87850115-8d5b-48e0-bdec-5e6cf7ad71a7,54,website,no,True,2022-05-27
